company_id,organization_name,hq_country,latitude,longitude,founded_year,b2b,hub_binary,number_of_founders,female_founder,energy,information_technology,materials,industrials,consumer_discretionary,consumer_staples,health_care,financials,communication_services,utilities,real_estate,other,grant_before_seed,angel_round_binary,first_seed_round_year,number_seed_rounds,number_seed_investors,one_seed_investor_binary,pre_seed,follow_on_investor,low_seed_funding,high_seed_funding,duration_seed_stage,all_homecountry_investors_in_seed_binary,regional_seed_investor_binary,regional_seed_investor_institutional_binary,city_seed_investor_binary,lead_investor_in_seed,accelerator_seed_investor_binary,incubator_seed_investor_binary,micro_vc_seed_investor_binary,corporate_venture_capital_seed_investor_binary,angel_group_seed_investor_binary,angel_seed_investor_binary,university_program_seed_investor_binary,entrepreneurship_program_seed_investor_binary,family_investment_office_seed_investor_binary,us_investor_binary,gdp,top_university,exit_binary,post_seed_success,success
020817,Finch Buildings,The Netherlands,52.3730796,4.8924534,2014,1,True,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2014.0,2,1,True,False,True,True,False,8.1,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,1.612610013,True,False,False,False
020819,Shipright,The Netherlands,51.9244424,4.47775,2017,1,False,1,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,2017.0,2,1,True,True,False,True,False,28.8,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,2.781546193,True,False,False,False
020821,REXai,The Netherlands,52.3730796,4.8924534,2016,1,True,1,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,2018.0,1,1,True,False,False,False,False,0.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,2.42428573,True,False,False,False
020823,Iristrace,The Netherlands,52.0799838,4.3113461,2014,1,False,1,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,2014.0,4,7,False,False,True,False,False,41.1,False,True,True,False,True,True,False,True,True,False,True,False,False,False,False,1.612610013,True,False,False,False
020826,Lone Rooftop,The Netherlands,52.3730796,4.8924534,2014,1,True,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2016.0,1,2,False,False,False,False,False,0.0,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,1.612610013,True,True,False,True
020827,Serket,The Netherlands,52.3730796,4.8924534,2016,1,True,2,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,2017.0,3,3,False,True,False,True,False,43.0,False,True,True,False,True,True,True,False,False,False,False,False,False,False,True,2.42428573,True,False,False,False
020828,FoamPlant,The Netherlands,53.2190652,6.5680077,2015,1,False,1,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,2019.0,1,2,False,False,False,False,False,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.120605239,True,False,False,False
020829,Nurtio Technologies,The Netherlands,52.0114017,4.35839,2018,1,False,3,True,False,True,False,True,True,False,False,False,False,False,True,False,False,False,2018.0,5,3,False,True,True,False,False,56.4,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,2.258740374,True,False,False,False
020830,Fixico,The Netherlands,52.3730796,4.8924534,2014,1,True,2,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,2016.0,3,2,False,True,True,False,True,39.6,False,True,True,True,True,True,False,False,False,False,False,False,False,False,True,1.612610013,True,False,True,True
020831,OmniCure,The Netherlands,52.9275957,7.1278746,2013,1,False,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2017.0,3,2,False,False,False,False,False,27.8,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,-0.03023256,False,False,False,False
020832,Pritle.,The Netherlands,52.3730796,4.8924534,2014,1,True,4,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,2016.0,1,1,True,False,False,False,True,0.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,1.612610013,True,True,False,True
020833,Greencovery,The Netherlands,51.9663016,5.6662814,2018,1,False,2,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,2019.0,3,3,False,True,False,False,False,34.6,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,2.258740374,True,False,False,False
020834,Viteezy,The Netherlands,52.2773656,5.1630646,2019,0,False,2,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,2020.0,1,1,True,True,False,True,False,0.0,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,2.300091579,False,False,False,False
020836,TRVL,The Netherlands,52.3730796,4.8924534,2010,0,True,2,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,2016.0,3,1,True,False,False,False,False,8.9,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,1.319320323,True,False,False,False
020838,X2AI,The Netherlands,52.3730796,4.8924534,2015,1,True,2,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,2015.0,1,1,True,True,False,True,False,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,2.120605239,True,False,True,True
020839,SwipeGuide,The Netherlands,52.3730796,4.8924534,2015,1,True,2,True,False,True,False,True,True,True,False,False,False,False,False,True,False,False,2017.0,2,1,True,False,False,False,False,13.9,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,2.120605239,True,True,False,True
020840,RapidPricer B.V.,The Netherlands,52.3730796,4.8924534,2018,1,True,2,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,2018.0,2,5,False,True,False,False,False,7.7,False,False,False,False,False,True,True,False,False,False,True,False,True,False,True,2.258740374,True,False,False,False
020841,Bomberbot,The Netherlands,52.3730796,4.8924534,2014,0,True,3,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,2014.0,3,2,False,False,False,False,False,34.5,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,1.612610013,True,True,False,True
020844,Close App,The Netherlands,52.3730796,4.8924534,2017,0,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2019.0,1,1,True,False,False,False,False,0.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,2.781546193,True,False,False,False
020845,Renal Tracker,The Netherlands,51.8474946,5.8637771,2016,0,False,2,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2017.0,1,1,True,False,False,True,False,0.0,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,2.42428573,True,False,False,False
020847,Voicebooking.com,The Netherlands,52.3730796,4.8924534,2011,0,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2019.0,1,1,True,False,False,False,False,0.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,1.773345163,True,False,False,False
020853,VIRPP,The Netherlands,52.3730796,4.8924534,2018,0,True,3,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,2019.0,1,2,False,True,False,False,False,0.0,True,True,True,False,True,False,False,False,False,False,False,False,False,True,False,2.258740374,True,False,False,False
020856,smartocto,The Netherlands,51.8474946,5.8637771,2014,1,False,5,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,2020.0,1,1,True,False,False,True,False,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.612610013,True,False,False,False
