Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Seed Round - Flowpay,https://www.crunchbase.com/funding_round/flowpay-b132-seed--6dd18d4d,Flowpay,https://www.crunchbase.com/organization/flowpay-b132,Seed,"Prague, Hlavni mesto Praha, Czech Republic, Europe",2024-03-20,2100000,EUR,2296887,Seed,,,,Yes,Flowpay is a software company that specializes in providing embedded financial services for SME Platforms.,"Embedded Software, Financial Services, FinTech, Lending",,https://www.flowpay.io/,,35904723,USD,35904723,Seed,5,Soulmates Ventures,"10X, Allard Luchsinger, DEPO Ventures, Kartik Varma, Mark Ransford, Martin F. Herrmann, Matej Turek, Patero, Petr Bednařík, Soulmates Ventures, Techstars",2,11,"16,767"
Seed Round - Readmio,https://www.crunchbase.com/funding_round/readmio-seed--bb2aef2b,Readmio,https://www.crunchbase.com/organization/readmio,Seed,"Prague, Hlavni mesto Praha, Czech Republic, Europe",2025-01-22,500000,EUR,520834,Seed,,,,Yes,Readmio is a digital publisher of children's literature enhanced by a captivating audio experience.,"Audiobooks, EBooks, EdTech, Parenting",,http://www.readmio.com,$1M to $10M,2100000,EUR,2307011,Seed,3,Simpact Ventures,Simpact Ventures,1,1,"17,886"
Seed Round - AI|ffinity,https://www.crunchbase.com/funding_round/ai-ffinity-seed--2355426d,AI|ffinity,https://www.crunchbase.com/organization/ai-ffinity,Seed,"Brno, Jihomoravsky kraj, Czech Republic, Europe",2024-11-13,420000,EUR,443768,Seed,,,,Yes,AI|ffinity is a health-tech company that offers molecular design by artificial intelligence and nuclear magnetic resonance.,"Artificial Intelligence (AI), Biopharma, Biotechnology, Life Science, Medical, Pharmaceutical, Therapeutics",,http://www.aiffinity.com,,420000,EUR,443768,Seed,1,,"Garage Angels, JIC Ventures",,2,"18,076"
Seed Round - Yedem,https://www.crunchbase.com/funding_round/yedem-seed--f90b7b79,Yedem,https://www.crunchbase.com/organization/yedem,Seed,"Brno, Jihomoravsky kraj, Czech Republic, Europe",2024-08-01,13000000,CZK,554019,Seed,,,,Yes,"SaaS, Mobile App, Green tech","GreenTech, Information Technology, Parking, Ride Sharing, Software",,https://www.yedem.io/,Less than $1M,13000000,CZK,554019,Seed,1,Czech Founders VC,"Czech Founders VC, JIC Ventures, Patero",1,3,"18,092"
Pre Seed Round - Navigara,https://www.crunchbase.com/funding_round/navigara-io-pre-seed--d9c32ebb,Navigara,https://www.crunchbase.com/organization/navigara-io,Pre-Seed,"Prague, Hlavni mesto Praha, Czech Republic, Europe",2024-11-01,400000,EUR,434820,Seed,,,,Yes,Navigara is an HR tech company that offers global HR market analytics data and services.,"Analytics, Artificial Intelligence (AI), Information Technology",,https://www.navigara.com,,400000,EUR,434820,Seed,1,QQ Capital,QQ Capital,1,1,"18,781"
Angel Round - Lemondia,https://www.crunchbase.com/funding_round/lemondia-angel--5fec6ab7,Lemondia,https://www.crunchbase.com/organization/lemondia,Angel,"Prague, Hlavni mesto Praha, Czech Republic, Europe",2024-11-13,40000,EUR,42264,Seed,,,,Yes,Airbnb for corporate events,"Business Travel, Event Management, Information Technology, Software",,https://www.lemondia.com,,40000,EUR,42264,Seed,1,Czech Founders VC,Czech Founders VC,,1,"19,344"
Seed Round - Blindspot Technologies,https://www.crunchbase.com/funding_round/blindspot-technologies-seed--c7e0a5a4,Blindspot Technologies,https://www.crunchbase.com/organization/blindspot-technologies,Seed,"Prague, Hlavni mesto Praha, Czech Republic, Europe",2023-11-22,1400000,EUR,1524306,Seed,,,,Yes,"Blindspot Technologies provides DDoS protection solutions, Based on the latest Deep Learning and Cloud technologies.","Computer, Network Security",,https://www.blindspot.cloud/,$1M to $10M,1400000,EUR,1524306,Seed,1,"Damir Špoljarič, Presto Ventures, PRO-ZETA a.s.","Damir Špoljarič, Presto Ventures, PRO-ZETA a.s.",1,3,"19,769"
Seed Round - CANS,https://www.crunchbase.com/funding_round/cans-seed--3eea5670,CANS,https://www.crunchbase.com/organization/cans,Seed,"Prague, Hlavni mesto Praha, Czech Republic, Europe",2024-02-26,,,,Seed,,,,Yes,"CANS is a manufacturing company that specializes in non-sweet sparkling, healthy and natural fruit drinks.","B2B, Food and Beverage, Manufacturing",,https://cans.com/,,,,,Seed,1,Jaroslav Beck,Jaroslav Beck,,1,"21,727"
Seed Round - Cruxo,https://www.crunchbase.com/funding_round/cruxo-seed--27dd34eb,Cruxo,https://www.crunchbase.com/organization/cruxo,Seed,"Prague, Hlavni mesto Praha, Czech Republic, Europe",2024-11-11,,,,Seed,,,,Yes,"Cruxo is an advertising and marketing tech company that offers a platform that integrates data, targeting, and native ad format.","Advertising Platforms, Retail",,https://cruxo.io,,800000,EUR,885480,Seed,2,,"Czech Founders VC, Rockaway Ventures",,2,"22,152"
Seed Round - Talentpilot,https://www.crunchbase.com/funding_round/supertalent-seed--e945215f,Talentpilot,https://www.crunchbase.com/organization/supertalent,Seed,"Prague, Hlavni mesto Praha, Czech Republic, Europe",2024-03-04,2000000,USD,2000000,Seed,,,,Yes,Talentpilot is an AI platform empowering organizations and individuals to build better work environments.,"Human Resources, Software",,https://www.talentpilot.com,Less than $1M,2150000,USD,2150000,Seed,2,,Notino,,1,"22,591"
