Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Diversity Spotlight,Lead Investors,Investor Names,CB Rank (Funding Round),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Funding Stage,Organization Description,Organization Industries,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Number of Investors,Number of Partner Investors,Equity Only Funding,Sentiment
Seed Round - Budgy App,https://www.crunchbase.com/funding_round/budgy-app-seed--cf48807d,Budgy App,https://www.crunchbase.com/organization/budgy-app,Seed,2019-01-01,,,,,,GrowthUP,"451,010",,,,Seed,Budgy App is a finance app that allows users to track and split bills with friends while traveling.,"Apps, Finance, Personal Finance","Kyiv, Kyyiv, Ukraine, Europe",http://www.budgyapp.com/,,,,,Seed,1,1,,Yes,
Seed Round - Fanbuster,https://www.crunchbase.com/funding_round/fanbuster-seed--7248b21a,Fanbuster,https://www.crunchbase.com/organization/fanbuster,Seed,2018-01-01,,,,,,GrowthUP,"451,317",,,,Seed,Fanbuster operates an online communication.,"Crowdfunding, Sports","Valletta, NA - Malta, Malta, Europe",https://www.fanbuster.com/,,,,,Seed,1,1,,Yes,
Seed Round - 1NewTrack.com,https://www.crunchbase.com/funding_round/1newtrack-com-seed--d64d6a1d,1NewTrack.com,https://www.crunchbase.com/organization/1newtrack-com,Seed,2014-01-09,80000,USD,80000,,,"AltaIR Capital, Happy Farm Business Accelerator","451,395",,,,Seed,1NewTrack.com offers one new track per day according to the taste of the user.,"Music, Music Streaming, Video Streaming","Kyiv, Kyyiv, Ukraine, Europe",http://www.1newtrack.com/,,95000,USD,95000,Seed,2,2,,Yes,
Seed Round - Black Snow,https://www.crunchbase.com/funding_round/black-snow-seed--7ea55b6d,Black Snow,https://www.crunchbase.com/organization/black-snow,Seed,2019-01-01,,,,,,Sigma Software Labs,"451,406",,,,Seed,"Black Snow is a digital platform that provides cinematic virtual reality experiences for multiple industries including tourism, and gaming.","Digital Media, Gamification, Online Portals, Virtual Reality","Kharkiv, Sums'ka Oblast', Ukraine, Europe",https://blacksnow.tv,,,,,Seed,1,1,,Yes,
Seed Round - HTraffic,https://www.crunchbase.com/funding_round/htraffic-seed--c0720d53,HTraffic,https://www.crunchbase.com/organization/htraffic,Seed,2015-01-01,,,,,,WannaBiz,"451,648",,,,Seed,HTraffic is a provider of an online advertising platform.,"Advertising, Advertising Platforms, Social Media","Odessa, Odes'ka Oblast', Ukraine, Europe",https://www.htraffic.ru,,,,,Seed,1,1,,Yes,
Seed Round - Ringostat,https://www.crunchbase.com/funding_round/ringostat-seed--301106fd,Ringostat,https://www.crunchbase.com/organization/ringostat,Seed,2013-02-01,150000,USD,150000,,,WannaBiz,"451,662",,,,Seed,Business Phone & Marketing Performance Platform.,"Marketing Automation, Sales Automation, VoIP","Odessa, Odes'ka Oblast', Ukraine, Europe",https://ringostat.com,,150000,USD,150000,Seed,1,1,,Yes,
Seed Round - Multitest.me,https://www.crunchbase.com/funding_round/multitest-seed--3080b2d7,Multitest.me,https://www.crunchbase.com/organization/multitest,Seed,2014-11-11,250000,USD,250000,,,"GrowthUP, Imperious Group VC","451,668",,,,Seed,"Multitest.me is a web services company that offers Wi-Fi networks, ISP, and internet access.","ISP, Telecommunications, Wireless","Kyiv, Kyyiv, Ukraine, Europe",http://www.multitest.me,,250000,USD,250000,M&A,1,2,,Yes,
Seed Round - Kaznachey,https://www.crunchbase.com/funding_round/kaznachey-seed--40087605,Kaznachey,https://www.crunchbase.com/organization/kaznachey,Seed,2014-04-25,200000,USD,200000,,,"Next Step Labs, WannaBiz","452,466",,,,Seed,Cloud payments platform ‘Kaznachey’ (www.kaznachey.ua) is the universal ‘Buy now’ button for online shop owners.,"Banking, E-Commerce, Payments","Odessa, Odes'ka Oblast', Ukraine, Europe",http://kaznachey.ua,,200000,USD,200000,Seed,1,2,,Yes,
Seed Round - Audaster,https://www.crunchbase.com/funding_round/audaster-seed--2034b81f,Audaster,https://www.crunchbase.com/organization/audaster,Seed,2014-09-18,,,,,,"Happy Farm Business Accelerator, Imperious Group VC","452,483",,,,Seed,Audaster developan software that helps in social network surfing through voice control.,"Apps, Audio, Mobile, Social Media","Kyiv, Kyyiv, Ukraine, Europe",http://audaster.com,,,,,Seed,1,2,,Yes,
Seed Round - Foodle,https://www.crunchbase.com/funding_round/foodle-seed--9523b1ef,Foodle,https://www.crunchbase.com/organization/foodle,Seed,2014-10-01,40000,USD,40000,,,"Happy Farm Business Accelerator, Imperious Group VC","452,527",,,,Seed,"Foodle helps people at a language barrier find most suitable dishes, understand menus and make orders in the best local restaurants.","Restaurants, Tourism, Travel","Kyiv, Kyyiv, Ukraine, Europe",http://justfoodle.com,$1M to $10M,40000,USD,40000,Seed,1,2,,Yes,
