Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Seed Round - Emjoy,https://www.crunchbase.com/funding_round/emjoy-barcelona-seed--57d7ac98,Emjoy,https://www.crunchbase.com/organization/emjoy-barcelona,Seed,"Barcelona, Catalonia, Spain, Europe",2020-09-30,2500000,EUR,2930850,Seed,,,,Yes,Emjoy is a Female-founded femtech startup helping women find sexual happiness and fulfillment thru guided audios.,"Health Care, Internet, Wellness, Women's",,https://letsemjoy.com,$1M to $10M,3500000,EUR,4046672,Seed,2,JME Ventures,"JME Ventures, Nauta Capital",2,2,"258,765"
Pre Seed Round - timeisbrain,https://www.crunchbase.com/funding_round/timeisbrain-pre-seed--2a964c59,timeisbrain,https://www.crunchbase.com/organization/timeisbrain,Pre-Seed,"Barcelona, Catalonia, Spain, Europe",2022-12-19,,,,Seed,,,,Yes,timeisbrain is a medical device for improving the diagnostics and prognostics of acute ischaemic stroke,"Health Care, Medical Device",,https://www.tibtimeisbrain.com,,2500000,EUR,2477966,Seed,3,European Innovation Council,European Innovation Council,,1,"259,850"
Seed Round - Bloobirds,https://www.crunchbase.com/funding_round/bloobirds-seed--d72c7be4,Bloobirds,https://www.crunchbase.com/organization/bloobirds,Seed,"Barcelona, Catalonia, Spain, Europe",2022-05-01,486000,EUR,512012,Seed,,,,Yes,"Enterprise Salesforce/D365 app to boost productivity, user adoption/satisfaction and data hygiene. More & better data. Sell more with less","B2B, Business Development, SaaS, Sales, Sales Automation, Software",,http://www.bloobirds.com,$1M to $10M,7529760,USD,7529760,,5,Dozen Investments,Dozen Investments,,1,"260,340"
Seed Round - kaikoo,https://www.crunchbase.com/funding_round/kaikoo-seed--a194301d,kaikoo,https://www.crunchbase.com/organization/kaikoo,Seed,"Málaga, Andalucia, Spain, Europe",2022-12-24,1000000,USD,1000000,Seed,,,,Yes,"Kaikoo is an esports platform for players and coaches that provides connectivity, analytics, and automated coaching solutions.","eSports, Gaming",,http://kaikoo.pro/,$1M to $10M,1329000,USD,1329000,Seed,2,,Avalancha Ventures,4,1,"260,644"
Seed Round - Gravity Wave,https://www.crunchbase.com/funding_round/gravity-wave-seed--89c384d1,Gravity Wave,https://www.crunchbase.com/organization/gravity-wave,Seed,"Alicante, Comunidad Valenciana, Spain, Europe",2022-11-07,,,,Seed,,,,Yes,"Gravity Wave mission is to involve companies, entities and individuals in the cleaning of our seas and oceans.","Environmental Consulting, Environmental Engineering, Waste Management",,https://www.thegravitywave.com/,,600000,EUR,659551,Seed,4,Pablo Fernandez,Pablo Fernandez,,1,"260,764"
Seed Round - Kubbo,https://www.crunchbase.com/funding_round/kubbo-seed--1ad4d07d,Kubbo,https://www.crunchbase.com/organization/kubbo,Seed,"Barcelona, Catalonia, Spain, Europe",2022-03-31,1000000,EUR,1107400,Seed,,,,Yes,Kubbo is a multi-channel E-commerce fulfillment company helping D2C brands easily scale their logistics.,"B2B, E-Commerce, Logistics",,https://kubbo.io/,,2466000,EUR,2836446,Seed,4,Swiss Post Ventures,"Notion Capital, Swiss Post Ventures, Wayra",,3,"261,563"
Seed Round - Silbat,https://www.crunchbase.com/funding_round/silbat-seed--3afc687e,Silbat,https://www.crunchbase.com/organization/silbat,Seed,"Madrid, Madrid, Spain, Europe",2022-09-22,,,,Seed,,,,Yes,Silbat is a electricity storage technology that can turn intermittent renewable energies into fully dispatchable electricity sources.,"Energy, Energy Efficiency, Energy Storage, Renewable Energy",,https://silbat.com/,,2730000,EUR,3195676,,6,Baker Hughes,"Baker Hughes, EIT InnoEnergy",2,2,"262,075"
Seed Round - Multiverse Computing,https://www.crunchbase.com/funding_round/multiverse-computing-seed--9c6a7478,Multiverse Computing,https://www.crunchbase.com/organization/multiverse-computing,Seed,"Donostia-san Sebastián, Pais Vasco, Spain, Europe",2021-10-20,10000000,EUR,11653653,Seed,,,,Yes,Multiverse Computing is a quantum software company that applies advanced solutions to solve complex challenges.,"Machine Learning, Quantum Computing, Software",,http://multiversecomputing.com,$1M to $10M,125883896,USD,125883896,,9,JME Ventures,"Clave, EASO Ventures, Ezten Venture Capital Fund, Ikerlan, Inveready, JME Ventures, Lks, Mondragón Corp., Penja Strategy, Quantonation, Seed Gipuzkoa (SPRI)",,11,"265,034"
"Pre Seed Round - Dana, by a thousand colibris SL",https://www.crunchbase.com/funding_round/dana-by-a-thousand-colibris-sl-pre-seed--a3a6c851,"Dana, by a thousand colibris SL",https://www.crunchbase.com/organization/dana-by-a-thousand-colibris-sl,Pre-Seed,"Barcelona, Catalonia, Spain, Europe",2021-12-15,250000,EUR,282254,Seed,1500000,EUR,1693524,Yes,Dana is a certified digital therapeutics software to improve the mental health and well-being of women during motherhood,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Medical Device, Mental Health, Personal Health, Women's",,https://www.athousandcolibris.com,,1333000,EUR,1464096,Seed,7,APX,APX,,1,"266,549"
Seed Round - Inbentus,https://www.crunchbase.com/funding_round/inbentus-seed--5f9f5ff9,Inbentus,https://www.crunchbase.com/organization/inbentus,Seed,"Murcia, Murcia, Spain, Europe",2023-05-29,2000000,EUR,2141383,Seed,,,,Yes,Inbentus is a manufacturer of medical equipment.,Medical Device,,https://inbentus.com/,Less than $1M,2513004,EUR,2765663,Seed,3,BeAble Capital,"BeAble Capital, Murcia Emprende",,2,"274,925"
