Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Pre Seed Round - MixRift,https://www.crunchbase.com/funding_round/mixrift-pre-seed--234ecfeb,MixRift,https://www.crunchbase.com/organization/mixrift,Pre-Seed,"Dublin, Dublin, Ireland, Europe",2024-05-02,,,,Seed,,,,Yes,MixRift is a gaming company that specializes in designing and developing interactive and mixed-reality gaming experiences.,"Gaming, Leisure, Video Games",,https://www.mixrift.com/,,1400000,EUR,1529849,Seed,2,,SOSV,1,1,"486,670"
Seed Round - Chirp,https://www.crunchbase.com/funding_round/cilter-seed--20169b85,Chirp,https://www.crunchbase.com/organization/cilter,Seed,"Dublin, Dublin, Ireland, Europe",2023-05-07,1670000,EUR,1840089,Seed,,,,Yes,Chirp is a child-protection programmes that makes internet use safe for children by examining all data that enters and leaves the device.,"Internet, Security, Software",,https://www.cilter.ie,$1M to $10M,4470000,EUR,4740189,Seed,2,,,,,"519,893"
Pre Seed Round - thinkHRX,https://www.crunchbase.com/funding_round/thinkhrx-pre-seed--b83e879b,thinkHRX,https://www.crunchbase.com/organization/thinkhrx,Pre-Seed,"Dublin, Dublin, Ireland, Europe",2018-12-02,,,,Seed,,,,Yes,SaaS platform that utilises AI and Predictive Analytics to make hiring and recruiting significantly more effective and accurate.,"Artificial Intelligence (AI), Blockchain, Human Resources, Internet, Machine Learning, Predictive Analytics, Recruiting, SaaS",,https://thinkhrx.com,Less than $1M,,,,Seed,1,,,,,"520,213"
Pre Seed Round - Nathan Hart Clothing,https://www.crunchbase.com/funding_round/nathan-hart-clothing-pre-seed--113b3637,Nathan Hart Clothing,https://www.crunchbase.com/organization/nathan-hart-clothing,Pre-Seed,"Waterford, Waterford, Ireland, Europe",2022-01-14,,EUR,,Seed,,,,Yes,Nathan Hart Clothing focuses on controlling and directing all business operations.,E-Commerce,,https://nathanhartclothing.com/,,,EUR,,Seed,2,,,,,"489,178"
Seed Round - Smarketing Cloud,https://www.crunchbase.com/funding_round/smarketing-cloud-seed--5376cb24,Smarketing Cloud,https://www.crunchbase.com/organization/smarketing-cloud,Seed,"Dublin, Dublin, Ireland, Europe",2020-01-02,250000,EUR,279263,Seed,5000000,EUR,5585250,Yes,Smarketing Cloud is a multi-channel communication and engagement SaaS company.,"Advertising Platforms, CRM, Email Marketing, Marketing, Marketing Automation, SaaS, Sales, Sales Automation, Social CRM",,https://smarketingcloud.com/,Less than $1M,250000,EUR,279263,Seed,1,,,,,"508,634"
Pre Seed Round - Mindfule,https://www.crunchbase.com/funding_round/mindfule-pre-seed--ed16dd95,Mindfule,https://www.crunchbase.com/organization/mindfule,Pre-Seed,"Dublin, Dublin, Ireland, Europe",2019-03-29,200000,EUR,224442,Seed,,,,Yes,Mindfule is a food care company dedicated to improving brain and gut health through smart nutrition solutions.,"Food Delivery, Health Care, Nutrition, Personal Health, Recipes, Wellness",,https://mindfule.com,Less than $1M,200000,EUR,224442,Seed,1,,,,,"528,525"
Seed Round - Boundless HQ,https://www.crunchbase.com/funding_round/boundless-adde-seed--71dc71b5,Boundless HQ,https://www.crunchbase.com/organization/boundless-adde,Seed,"Dublin, Dublin, Ireland, Europe",2022-02-01,830000,EUR,935686,Seed,,,,Yes,Boundless is a Dublin-based company offering Employer of Record solutions to enable businesses to compliantly employ & manage global talent.,"Human Resources, Information Technology, Internet, Software",,https://www.boundlesshq.com/,$1M to $10M,4405000,EUR,5095270,Seed,3,,,,,"509,361"
Seed Round - Property Bridges,https://www.crunchbase.com/funding_round/property-bridges-seed--8a1b75d6,Property Bridges,https://www.crunchbase.com/organization/property-bridges,Seed,"Dublin, Dublin, Ireland, Europe",2019-01-16,500000,EUR,569995,Seed,,,,Yes,Property Bridges is a peer-to-peer platform for the construction industry.,"Financial Services, Real Estate",,https://www.propertybridges.com/,$10M to $50M,500000,EUR,569995,Seed,2,,,,,"497,863"
Angel Round - HazzCorp.,https://www.crunchbase.com/funding_round/hazzcorp-angel--25025bc8,HazzCorp.,https://www.crunchbase.com/organization/hazzcorp,Angel,"Dublin, Dublin, Ireland, Europe",2018-09-08,1500000,EUR,1734305,Seed,4500000,EUR,5202914,Yes,HazzCorp. is a corporate company that specializes in digital and automation marketing.,"Digital Marketing, Internet, Marketing Automation",,https://hazzcorp.com,,2250000,EUR,2585319,Seed,2,,,,,"499,618"
Seed Round - Paradyn,https://www.crunchbase.com/funding_round/paradyn-seed--cc36c21e,Paradyn,https://www.crunchbase.com/organization/paradyn,Seed,"Sandyford, Dublin, Ireland, Europe",2018-07-07,4000000,EUR,4701402,Seed,,,,Yes,"Paradyn is the amalgamation of three of Ireland’s telecom, managed service and network infrastructure companies. ","Information Technology, Infrastructure, Service Industry",,http://www.paradyn.ie/,$1M to $10M,4000000,EUR,4701402,Seed,1,,,,,"500,586"
Seed Round - Treasury Delta,https://www.crunchbase.com/funding_round/treasury-delta-seed--79d2c73f,Treasury Delta,https://www.crunchbase.com/organization/treasury-delta,Seed,"Dublin, Dublin, Ireland, Europe",2018-02-08,,,,Seed,,,,Yes,Treasury Delta has brought to market a corporate treasury RFP platform.,"Banking, Financial Services, FinTech",,http://www.treasurydelta.com/,Less than $1M,,,,Seed,1,,,,,"506,254"
Seed Round - SOBI Analytics,https://www.crunchbase.com/funding_round/sobi-analytics-seed--3c499b01,SOBI Analytics,https://www.crunchbase.com/organization/sobi-analytics,Seed,"Dublin, Dublin, Ireland, Europe",2023-01-02,,,,Seed,3500000,USD,3500000,Yes,"SOBI Analytics is a Business Intelligence platform, built by CFOs, for CFOs","Accounting, Analytics, Business Intelligence, Information Technology, Software",,https://www.sobianalytics.com/,,430000,USD,430000,Seed,3,,,,,"509,566"
Pre Seed Round - Institute of Chinese,https://www.crunchbase.com/funding_round/learn-chinese-plus-pre-seed--c1a7024b,Institute of Chinese,https://www.crunchbase.com/organization/learn-chinese-plus,Pre-Seed,"Dublin, Dublin, Ireland, Europe",2021-02-08,100000,EUR,120510,Seed,,,,Yes,Providing teachers worldwide with award-winning digital Chinese language education & teaching content for K12 Students,"E-Learning, EdTech, Education, Online Portals",,http://instituteofchinese.com/,,100000,EUR,120510,Seed,1,,,,,"511,161"
Seed Round - Knogin,https://www.crunchbase.com/funding_round/knogin-seed--9066b45a,Knogin,https://www.crunchbase.com/organization/knogin,Seed,"Dublin, Dublin, Ireland, Europe",2020-02-05,2500000,USD,2500000,Seed,,,,Yes,"Knogin protects critical public safety systems from cyberattacks, ensuring uninterrupted operation and safeguarding citizens' well-being.","Analytics, Big Data, Information Technology, National Security, Predictive Analytics, Public Safety, SaaS, Security, Smart Cities, Software","Hispanic / Latine Founded, Women Founded",https://knogin.com,$10M to $50M,4500000,USD,4500000,Seed,2,,,,,"508,549"
Seed Round - Tornoc Studios,https://www.crunchbase.com/funding_round/tornoc-studios-seed--04cc8e21,Tornoc Studios,https://www.crunchbase.com/organization/tornoc-studios,Seed,"Limerick, Limerick, Ireland, Europe",2019-01-01,,,,Seed,,,,Yes,Tornoc Studios is an Indie gaming studio.,"Gaming, Information Technology, Virtual Reality",,http://tornoc.ie/,,,,,Seed,1,,,,,"513,188"
Seed Round - ToDesktop,https://www.crunchbase.com/funding_round/todesktop-seed--89ddb9ab,ToDesktop,https://www.crunchbase.com/organization/todesktop,Seed,"Cork, Cork, Ireland, Europe",2020-04-01,,,,Seed,,,,Yes,ToDesktop enables web businesses to convert their web app into a desktop app.,"B2B, Computer, Desktop Apps, Software, Web Apps",,https://www.todesktop.com,Less than $1M,150000,USD,150000,Seed,2,,,,,"516,963"
Seed Round - Song Sleuth,https://www.crunchbase.com/funding_round/song-sleuth-seed--270ebcde,Song Sleuth,https://www.crunchbase.com/organization/song-sleuth,Seed,"Dublin, Dublin, Ireland, Europe",2023-06-05,,,,Seed,,,,Yes,Music Licensing Technology,"Music, Software Engineering",,https://www.songsleuth.io/,,2500000,USD,2500000,M&A,3,,,,,"517,970"
Seed Round - EMA Aesthetics,https://www.crunchbase.com/funding_round/ema-aesthetics-limited-seed--3bc23bfe,EMA Aesthetics,https://www.crunchbase.com/organization/ema-aesthetics-limited,Seed,"Dublin, Dublin, Ireland, Europe",2021-04-07,2500000,EUR,2968064,Seed,17000000,EUR,20182833,Yes,"Professional Cosmetics, SkinCare, Medical Aesthetics, Medical Devices, Lifestyle, Health, Beauty, Brand Owner, Global Innovation","Beauty, Cosmetics, Health Care, Lifestyle, Medical Device, Personal Health",,https://emaaesthetics.com/,$1M to $10M,5365000,EUR,6114597,Seed,3,,,,,"531,114"
Pre Seed Round - JustTip,https://www.crunchbase.com/funding_round/justtip-technologies-pre-seed--c74b411f,JustTip,https://www.crunchbase.com/organization/justtip-technologies,Pre-Seed,"Dublin, Dublin, Ireland, Europe",2022-05-01,300000,EUR,316057,Seed,,,,Yes,"JustTip Technologies is a cashless tipping platform for the hospitality, charity and micro payments sectors.","Finance, Financial Services, FinTech, Hospitality, Information Technology",,https://justtip.net/,,2212055,USD,2212055,,4,,,,,"533,011"
Pre Seed Round - JustTip,https://www.crunchbase.com/funding_round/justtip-technologies-pre-seed--ebad8065,JustTip,https://www.crunchbase.com/organization/justtip-technologies,Pre-Seed,"Dublin, Dublin, Ireland, Europe",2023-12-01,450000,EUR,490166,Seed,,,,Yes,"JustTip Technologies is a cashless tipping platform for the hospitality, charity and micro payments sectors.","Finance, Financial Services, FinTech, Hospitality, Information Technology",,https://justtip.net/,,2212055,USD,2212055,,4,,,,,"532,996"
