Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Seed Round - Daedalus,https://www.crunchbase.com/funding_round/daedalus-6017-seed--2793c9da,Daedalus,https://www.crunchbase.com/organization/daedalus-6017,Seed,"Karlsruhe, Baden-Wurttemberg, Germany, Europe",2023-02-01,6000000,USD,6000000,Seed,,,,Yes,Daedalus builds and operates the world's most advanced factories for precision components.,"Artificial Intelligence (AI), Manufacturing, Robotics",,https://daedalus.de/,$10M to $50M,41008642,USD,41008642,Early Stage Venture,4,Addition,"ABACON CAPITAL, Addition, First Momentum Ventures, Khosla Ventures, LEA Partners, Y Combinator",3,6,"268,030"
Seed Round - Etvas,https://www.crunchbase.com/funding_round/etvas-seed--73a5cacd,Etvas,https://www.crunchbase.com/organization/etvas,Seed,"Hamburg, Hamburg, Germany, Europe",2022-07-05,1000000,EUR,1025677,Seed,,,,Yes,Etvas is a digital marketplace for value-added services.,"Banking, FinTech, Insurance, InsurTech, Marketplace, Mobile, SaaS, Software, Trading Platform, Travel",,https://www.etvas.com/en-us/homepage,$1M to $10M,2150000,EUR,2408110,M&A,4,ff Venture Capital,"ff Venture Capital, Neosfer",,2,"269,099"
Seed Round - Airfarm,https://www.crunchbase.com/funding_round/airfarm-seed--955a71e2,Airfarm,https://www.crunchbase.com/organization/airfarm,Seed,"Berlin, Berlin, Germany, Europe",2021-08-13,,,,Seed,,,,Yes,Airfarm is a mobile app for the agricultural industry.,"Agriculture, Apps, Farming, Information Technology, Mobile Apps",,https://airfarm.io/,,,,,Seed,3,FoodLabs,"FJ Labs, FoodLabs",,2,"269,176"
Pre Seed Round - Lupiter,https://www.crunchbase.com/funding_round/lupiter-pre-seed--562418aa,Lupiter,https://www.crunchbase.com/organization/lupiter,Pre-Seed,"Düsseldorf, Nordrhein-Westfalen, Germany, Europe",2022-04-20,200000,EUR,217002,Seed,,,,Yes,We help brands to pioneer Messenger Marketing by using WhatsApp.,Software,,https://www.lupiter.com/,Less than $1M,400000,EUR,462152,Seed,2,Julian Beckmann,"Julian Beckmann, Lennart Beckmann",,2,"271,404"
Pre Seed Round - Kitchn.io,https://www.crunchbase.com/funding_round/kitchn-io-pre-seed--96ccf5b1,Kitchn.io,https://www.crunchbase.com/organization/kitchn-io,Pre-Seed,"Berlin, Berlin, Germany, Europe",2020-08-17,,,,Seed,,,,Yes,Enabling world-class digital marketing operations through workflow automation and monitoring.,"Digital Marketing, Marketing, Marketing Automation",,https://www.kitchn.io/,,,,,Seed,2,Venista Ventures,Venista Ventures,1,1,"273,279"
Seed Round - urban ENERGY GmbH,https://www.crunchbase.com/funding_round/urban-energy-gmbh-seed--04156bc3,urban ENERGY GmbH,https://www.crunchbase.com/organization/urban-energy-gmbh,Seed,"Berlin, Berlin, Germany, Europe",2019-03-28,,,,Seed,,,,Yes,"Urban ENERGY specializes in eMobility in urban areas, taking energy management with IoT and data analytics to a new level.","Analytics, Artificial Intelligence (AI), Internet of Things, Software, Transportation",,https://urbanenergy.de/de/,Less than $1M,,,,Seed,1,Phoenix Contact Innovation Ventures,Phoenix Contact Innovation Ventures,1,1,"273,641"
Seed Round - Nomitri,https://www.crunchbase.com/funding_round/nomitri-seed--f546aa6d,Nomitri,https://www.crunchbase.com/organization/nomitri,Seed,"Berlin, Berlin, Germany, Europe",2022-03-02,2500000,EUR,2778000,Seed,,,,Yes,Retail AI Startup from Berlin. We develop Embedded Visual deep-learning AI for Mobile & Edge Devices.,"Artificial Intelligence (AI), Embedded Software, Machine Learning, Retail Technology",,http://www.nomitri.com,$1M to $10M,3250000,EUR,3608931,Seed,2,FoodLabs,FoodLabs,1,1,"273,681"
Seed Round - Honest & Rare,https://www.crunchbase.com/funding_round/craft-exchange-seed--c4dc39af,Honest & Rare,https://www.crunchbase.com/organization/craft-exchange,Seed,"Berlin, Berlin, Germany, Europe",2022-07-07,250000,EUR,254237,Seed,,,,Yes,The online marketplace for rare high quality drinks,"E-Commerce, Marketplace, Wine And Spirits",,https://www.honest-rare.de/,Less than $1M,325000,EUR,344768,Seed,3,,Loyal VC,,1,"277,163"
Pre Seed Round - ViveLaCar,https://www.crunchbase.com/funding_round/vivelacar-gmbh-pre-seed--191c47b4,ViveLaCar,https://www.crunchbase.com/organization/vivelacar-gmbh,Pre-Seed,"Stuttgart, Baden-Wurttemberg, Germany, Europe",2019-05-20,,,,Seed,,,,Yes,ViveLaCar offers car subscription delivered through a fully digital marketplace in an asset-light model,"Automotive, E-Commerce, E-Commerce Platforms, Marketplace, Rental, Service Industry, Subscription Service",,https://www.vivelacar.com/,$1M to $10M,,,,M&A,2,Vector Venture Capital,Vector Venture Capital,,1,"277,679"
Seed Round - Apryl,https://www.crunchbase.com/funding_round/oviavo-seed--720fc21f,Apryl,https://www.crunchbase.com/organization/oviavo,Seed,"Berlin, Berlin, Germany, Europe",2022-04-28,4100000,EUR,4306497,Seed,,,,Yes,Apryl is a fertility benefits platform that helps in overcoming inequality.,"Health Care, Medical, Wellness",,https://apryl.co/,$1M to $10M,4100000,EUR,4306497,M&A,4,BREEGA,"AFI Ventures, Atlantic Labs, BREEGA, Crista Galli Ventures, Myelin VC, WestTech Ventures",2,6,"278,571"
Seed Round - Kenbi,https://www.crunchbase.com/funding_round/herzsache-gmbh-seed--b7ae60c6,Kenbi,https://www.crunchbase.com/organization/herzsache-gmbh,Seed,"Berlin, Berlin, Germany, Europe",2021-01-11,7000000,EUR,8512004,Seed,,,,Yes,Kenbi is a nurse centric outpatient care company.,"Elder Care, Health Care",,http://www.kenbi.de,$50M to $100M,30500000,EUR,35146422,Early Stage Venture,4,redalpine,"Amino Collective, Headline, Heartcore Capital, Partech, redalpine",3,5,"281,414"
Seed Round - DeepSpin,https://www.crunchbase.com/funding_round/deepspin-seed--1e4a24c4,DeepSpin,https://www.crunchbase.com/organization/deepspin,Seed,"Berlin, Berlin, Germany, Europe",2020-06-30,600000,EUR,674070,Seed,,,,Yes,DeepSpin is a company developing an artificial intelligence-powered MRI imaging machine.,"Artificial Intelligence (AI), Medical, Medical Device",,https://www.deepspin.io/,$1M to $10M,13253988,USD,13253988,Seed,7,APEX Ventures,"11k Ventures, APEX Ventures, Christian Dahlen, Entrepreneurs First, SOSV",3,5,"280,380"
Seed Round - 36ZERO Vision,https://www.crunchbase.com/funding_round/fotonow-ba2b-seed--7523ec35,36ZERO Vision,https://www.crunchbase.com/organization/fotonow-ba2b,Seed,"Munich, Bayern, Germany, Europe",2021-09-13,3000000,USD,3000000,Seed,,,,Yes,36ZEROVision is an AI-powered visual inspection system(SaaS) to identify and solve a wide range of manufacturing quality issues.,"Artificial Intelligence (AI), Computer Vision, Industrial Automation, Machine Learning, Manufacturing",,https://36zerovision.com/,$1M to $10M,3000000,USD,3000000,Seed,2,Join Capital,Join Capital,,1,"286,161"
Seed Round - Installion,https://www.crunchbase.com/funding_round/installion-seed--8a5d771b,Installion,https://www.crunchbase.com/organization/installion,Seed,"Cologne, Nordrhein-Westfalen, Germany, Europe",2021-08-24,3200000,EUR,3760918,Seed,,,,Yes,Installion is a cutting-edge marketplace for photovoltaic installation orders.,Energy,,https://installion.eu/,$1M to $10M,3200000,EUR,3760918,M&A,1,Eneco Ventures,Eneco Ventures,,1,"285,087"
Pre Seed Round - Pickar,https://www.crunchbase.com/funding_round/pickar-pre-seed--76b8bf62,Pickar,https://www.crunchbase.com/organization/pickar,Pre-Seed,"Berlin, Berlin, Germany, Europe",2019-06-01,,,,Seed,,,,Yes,pickar revolutionizes the process of finding the right studies through the use of unique online analysis-tools!,"Consulting, Education, Internet, Software",,https://pickar.site/,,,,,Seed,1,PANDO. Ventures,PANDO. Ventures,,1,"295,347"
Seed Round - SiaSearch,https://www.crunchbase.com/funding_round/siasearch-seed--feb4e8a0,SiaSearch,https://www.crunchbase.com/organization/siasearch,Seed,"Berlin, Berlin, Germany, Europe",2019-11-07,,,,Seed,,,,Yes,Intelligent data solutions for automated driving at scale.,"Automotive, Autonomous Vehicles, Big Data, Cloud Data Services, Enterprise Software, Machine Learning",,https://siasearch.io,Less than $1M,,,,M&A,1,Merantix Capital,Merantix Capital,,1,"295,718"
Seed Round - BDK Group,https://www.crunchbase.com/funding_round/bdk-group-seed--42555561,BDK Group,https://www.crunchbase.com/organization/bdk-group,Seed,"Chemnitz, Sachsen, Germany, Europe",2019-01-04,,,,Seed,,,,Yes,car glass repair branch system,Real Estate,,https://www.bdkgroup.de,,,,,Seed,1,WEGVISOR,WEGVISOR,,1,"287,141"
Pre Seed Round - Traversals Analytics and Intelligence,https://www.crunchbase.com/funding_round/traversals-analytics-and-intelligence-pre-seed--75ecb130,Traversals Analytics and Intelligence,https://www.crunchbase.com/organization/traversals-analytics-and-intelligence,Pre-Seed,"Uttenreuth, Bayern, Germany, Europe",2019-01-29,,,,Seed,,,,Yes,Make Data Speak Your Language,"Big Data, Cyber Security, Information Technology, Software",,https://traversals.com,Less than $1M,,,,Seed,1,Hans-Joachim Kolb,Hans-Joachim Kolb,,1,"306,145"
