Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Pre Seed Round - TheShop.Global,https://www.crunchbase.com/funding_round/theshop-dev-pre-seed--331ad003,TheShop.Global,https://www.crunchbase.com/organization/theshop-dev,Pre-Seed,"Zilina, Zilina, Slovakia (Slovak Republic), Europe",2022-03-01,450000,EUR,500949,Seed,,,,Yes,Revolutionizes e-commerce by delivering personalized and localized data to provide first class shopping experiences on a global scale.,"Artificial Intelligence (AI), Big Data, Business Intelligence, E-Commerce, PaaS, Predictive Analytics, Software",,https://www.theshop.global,,450000,EUR,500949,,2,Vision Ventures,Vision Ventures,,1,"380,174"
Pre Seed Round - Zoniq,https://www.crunchbase.com/funding_round/mobilyze-it-pre-seed--a3743539,Zoniq,https://www.crunchbase.com/organization/mobilyze-it,Pre-Seed,"Bratislava, Bratislava, Slovakia (Slovak Republic), Europe",2021-09-02,300000,EUR,356220,Seed,,,,Yes,Zoniq is AI-driven location intelligence platform to identify public EV charging hotspots,"Analytics, Artificial Intelligence (AI), Automotive, Big Data, Charging Infrastructure, Consulting, Electric Vehicle, Machine Learning, SaaS, Software",,https://www.zoniq.io/,,800000,EUR,899507,Seed,4,Vision Ventures,Vision Ventures,,1,"392,499"
Seed Round - Sportymob,https://www.crunchbase.com/funding_round/sportymob-seed--e238fa52,Sportymob,https://www.crunchbase.com/organization/sportymob,Seed,"Bratislava, Bratislava, Slovakia (Slovak Republic), Europe",2013-03-01,300000,EUR,390798,Seed,,,,Yes,Mobile portal dedicated to true sports fans and enthusiasts.,"Digital Media, Events, Mobile, Sports",,http://sportymob.com/,Less than $1M,300000,EUR,390798,Seed,1,,Launcher,,1,"388,894"
Pre Seed Round - Boataround,https://www.crunchbase.com/funding_round/boataround-pre-seed--1c5935d0,Boataround,https://www.crunchbase.com/organization/boataround,Pre-Seed,"Bratislava, Bratislava, Slovakia (Slovak Republic), Europe",2020-11-01,,,,Seed,,,,Yes,"Boataround is a motorboat, yacht, and catamaran rental service company.","Marine Transportation, Rental, Reservations",,https://www.boataround.com,Less than $1M,15000000,CZK,631856,Seed,4,CB Investment Management,CB Investment Management,,1,"407,449"
Seed Round - Keepi,https://www.crunchbase.com/funding_round/keepi-seed--801c3622,Keepi,https://www.crunchbase.com/organization/keepi,Seed,"Bratislava, Bratislava, Slovakia (Slovak Republic), Europe",2013-01-01,400000,EUR,528296,Seed,,,,Yes,"Keepi is a cloud-based online counting platform that supports its users in accounting, invoicing, and stock control.","Accounting, Cloud Data Services, SaaS",,http://www.keepi.sk,$1M to $10M,400000,EUR,528296,Seed,1,,Launcher,,1,"405,297"
Pre Seed Round - AeroMobil,https://www.crunchbase.com/funding_round/aeromobil-pre-seed--e9bd3163,AeroMobil,https://www.crunchbase.com/organization/aeromobil,Pre-Seed,"Bratislava, Bratislava, Slovakia (Slovak Republic), Europe",2011-02-16,1200000,USD,1200000,Seed,,,,Yes,"AeroMobil is an advanced engineering company developing a flying car, combining a sports car and a light aircraft in a single vehicle.","Aerospace, Automotive, Manufacturing",,http://aeromobil.com/,Less than $1M,34835439,USD,34835439,,4,Juraj Vaculik,Juraj Vaculik,,1,"406,547"
Seed Round - Instarea,https://www.crunchbase.com/funding_round/adastra-partnering-seed--fb7f9940,Instarea,https://www.crunchbase.com/organization/adastra-partnering,Seed,"Bratislava, Bratislava, Slovakia (Slovak Republic), Europe",2014-09-24,500000,EUR,638949,Seed,,,,Yes,"Instarea Big Data Monetization & GPU / Telco data monetization for location intel, targeted ads and KYC / QikkDB GPU accelerated database","Analytics, Big Data, Database, Developer APIs, Geospatial, GPU, Location Based Services, Mobile Advertising, SMS",,http://www.instarea.com/,$1M to $10M,500000,EUR,638949,Early Stage Venture,2,Adastra Group,Adastra Group,,1,"419,718"
Seed Round - Orderlord,https://www.crunchbase.com/funding_round/orderlord-seed--0a995ca5,Orderlord,https://www.crunchbase.com/organization/orderlord,Seed,"Bratislava, Bratislava, Slovakia (Slovak Republic), Europe",2014-04-15,53000,USD,53000,Seed,,,,Yes,Orderlord is a solution for food delivery management.,"Apps, Delivery Service, Hospitality, Mobile Apps, Point of Sale, Software",,http://orderlord.com,$1M to $10M,580633,USD,580633,M&A,5,,Wayra,,1,"426,581"
Seed Round - Orderlord,https://www.crunchbase.com/funding_round/orderlord-seed--c8a83e12,Orderlord,https://www.crunchbase.com/organization/orderlord,Seed,"Bratislava, Bratislava, Slovakia (Slovak Republic), Europe",2014-09-16,200000,EUR,259059,Seed,,,,Yes,Orderlord is a solution for food delivery management.,"Apps, Delivery Service, Hospitality, Mobile Apps, Point of Sale, Software",,http://orderlord.com,$1M to $10M,580633,USD,580633,M&A,5,,Neulogy Ventures,,1,"426,733"
Seed Round - Gruveo,https://www.crunchbase.com/funding_round/gruveo-seed--6336f39e,Gruveo,https://www.crunchbase.com/organization/gruveo,Seed,"Kosice, Kosice, Slovakia (Slovak Republic), Europe",2015-11-01,,,,Seed,,,,Yes,One easy call number for all your communications.,"Collaboration, Telecommunications, Video Chat, Video Conferencing",,https://www.gruveo.com/,Less than $1M,,,,Seed,2,,Neulogy Ventures,,1,"426,768"
