Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Angel Round - Heavyweight Rex,https://www.crunchbase.com/funding_round/heavyweight-rex-angel--f215d0cd,Heavyweight Rex,https://www.crunchbase.com/organization/heavyweight-rex,Angel,"Espoo, Southern Finland, Finland, Europe",2019-06-19,,,,Seed,,,,Yes,"Heavyweight Rex is privately held game studio from Helsinki Area, Finland.","Android, Blockchain, Gaming, iOS, Online Games, PC Games",,http://www.heavyweightrex.com,Less than $1M,,,,Seed,9,,,,,"673,457"
Seed Round - Mash,https://www.crunchbase.com/funding_round/euroloan-seed--fc7864e2,Mash,https://www.crunchbase.com/organization/euroloan,Seed,"Helsinki, Southern Finland, Finland, Europe",2008-11-26,100000,EUR,128724,Seed,,,,Yes,One of Europe's fastest growing FinTech companies driving innovation in payments and lending.,"Banking, Consumer Lending, Finance, Financial Services, FinTech, Micro Lending, Mobile Payments, Payments, Point of Sale",,https://www.mash.com,$1M to $10M,138045000,EUR,158936032,,7,,,,,"673,644"
Seed Round - MeetingPackage,https://www.crunchbase.com/funding_round/meetingpackage-com-seed--29fff02d,MeetingPackage,https://www.crunchbase.com/organization/meetingpackage-com,Seed,"Espoo, Southern Finland, Finland, Europe",2016-01-01,800000,EUR,868658,Seed,,,,Yes,"MeetingPackage is a Venue & Sales Management and a Booking Engine solution for Hotels & Event Venues. SaaS, PropTech, HotelTech, Marketplace","Business Travel, Event Management, Events, Hospitality, Hotel, Meeting Software, Property Management, PropTech, SaaS, Travel",,https://www.meetingpackage.com,$1M to $10M,8597162,USD,8597162,Early Stage Venture,5,,,,,"674,013"
Angel Round - LiquidBlox,https://www.crunchbase.com/funding_round/liquidblox-angel--619a1252,LiquidBlox,https://www.crunchbase.com/organization/liquidblox,Angel,"Espoo, Southern Finland, Finland, Europe",2015-11-02,200000,EUR,220256,Seed,,,,Yes,Visual Website Builder for Better Websites and Shopify Online Stores,"CMS, E-Commerce, Publishing, SaaS, Software, Web Design",,https://www.liquidblox.com/,Less than $1M,350000,EUR,398755,Seed,4,,,,,"674,050"
Seed Round - Applixure,https://www.crunchbase.com/funding_round/applixure-seed--4927aa69,Applixure,https://www.crunchbase.com/organization/applixure,Seed,"Helsinki, Southern Finland, Finland, Europe",2017-04-01,250000,EUR,266600,Seed,,,,Yes,"Prioritized list of issues in you IT environment. Instant, up-to-date view and tracking of your IT environment’s state. Easy. Automated.","Enterprise Software, Information Technology, IT Management, Security, Small and Medium Businesses, Software",,http://www.applixure.com,Less than $1M,986530,EUR,1194422,Seed,8,,,,,"674,188"
Seed Round - Tellybean,https://www.crunchbase.com/funding_round/tellybean-seed--b33d0919,Tellybean,https://www.crunchbase.com/organization/tellybean,Seed,"Helsinki, Southern Finland, Finland, Europe",2015-06-01,423000,EUR,462207,Seed,3600000,EUR,3933674,Yes,Tellybean is a video call solution that enables users to convert their televisions into videophones.,"Media and Entertainment, Mobile Apps, Video",,http://tellybean.com,$10M to $50M,2730000,EUR,3296069,,6,,,,,"675,569"
Pre Seed Round - TalentAdore,https://www.crunchbase.com/funding_round/talentadore-pre-seed--90834d3f,TalentAdore,https://www.crunchbase.com/organization/talentadore,Pre-Seed,"Kerava, Southern Finland, Finland, Europe",2016-06-29,111000,EUR,123485,Seed,,,,Yes,Hire the Right Talent with AI-based Recruitment Software. Engage job candidates throughout the entire job application journey.,"Artificial Intelligence (AI), Big Data, Enterprise Software, Human Resources, Information Technology, Machine Learning, SaaS, Software",,http://talentadore.com/,$1M to $10M,567778,USD,567778,Seed,9,,,,,"676,716"
Seed Round - Holvi,https://www.crunchbase.com/funding_round/holvi-seed--4b6af110,Holvi,https://www.crunchbase.com/organization/holvi,Seed,"Helsinki, Southern Finland, Finland, Europe",2013-01-01,750000,EUR,990554,Seed,,,,Yes,Holvi is digital banking for freelancers and small business owners.,"Banking, Finance, Financial Services, FinTech",,http://holvi.com,$10M to $50M,4250000,EUR,5254439,M&A,6,,,,,"677,658"
Seed Round - Treamer,https://www.crunchbase.com/funding_round/treamer-seed--efd20503,Treamer,https://www.crunchbase.com/organization/treamer,Seed,"Helsinki, Southern Finland, Finland, Europe",2016-10-25,500000,EUR,544425,Seed,,,,Yes,LinkedIn for Frontline Workers —AI powered professional social network with €2M revenue run rate bringing career tech for underserved market,"Apps, Artificial Intelligence (AI), B2B, B2C, Employment, Marketplace, Recruiting, Social Network, Staffing Agency",,http://treamer.com,,1825000,EUR,2070652,,5,,,,,"677,940"
Angel Round - Pole Bicycles,https://www.crunchbase.com/funding_round/pole-bicycle-angel--f18933fc,Pole Bicycles,https://www.crunchbase.com/organization/pole-bicycle,Angel,"Muurame, Western Finland, Finland, Europe",2020-06-01,1000000,EUR,1112545,Seed,,,,Yes,Pole Bicycle Company is a Finnish mountain bike brand. Sustainably made in Finland for an unrivalled riding experience.,Sporting Goods,,https://polebicycles.com,$1M to $10M,6272727,USD,6272727,Seed,15,,,,,"678,113"
