Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Seed Round - StreamTV Media,https://www.crunchbase.com/funding_round/own3d-seed--0a87e45e,StreamTV Media,https://www.crunchbase.com/organization/own3d,Seed,"Steyr, Oberosterreich, Austria, Europe",2019-01-01,,,,Seed,,,,Yes,"StreamTV Media creates innovative products and platforms within the live streaming creator economy (own3d.tv, own3d.pro, streamheroes.gg).","Online Games, Video, Video Streaming",,https://www.stream.tv,Less than $1M,2375000,EUR,2690331,Seed,4,,tech2b Inkubator,,1,"591,278"
Pre Seed Round - Captic,https://www.crunchbase.com/funding_round/captic-io-pre-seed--f59e495f,Captic,https://www.crunchbase.com/organization/captic-io,Pre-Seed,"Vienna, Wien, Austria, Europe",2022-07-01,,,,Seed,,,,Yes,"Captic is a white-label metaverse platform that allows organisations to own, control and scale their own metaverse presences on the web","Information Technology, Metaverse, Software, Virtual World",,https://captic.io,,,,,Seed,2,,Startup Wise Guys SaaS Milan,,1,"596,820"
Pre Seed Round - ReDev,https://www.crunchbase.com/funding_round/redev-545a-pre-seed--a5f99cef,ReDev,https://www.crunchbase.com/organization/redev-545a,Pre-Seed,"Vienna, Wien, Austria, Europe",2022-05-01,100000,EUR,105352,Seed,,,,Yes,Next-Generation Human Resources - ReDev AI-Powered Recruiting Platform,"Artificial Intelligence (AI), Recruiting, SaaS",,https://redev.jobs/companies,,700000,EUR,757896,Seed,5,,Reza Jafarpur,,1,"597,835"
Pre Seed Round - Digicust,https://www.crunchbase.com/funding_round/digicust-pre-seed--4107bf39,Digicust,https://www.crunchbase.com/organization/digicust,Pre-Seed,"Vienna, Wien, Austria, Europe",2020-07-01,,,,Seed,,,,Yes,Digicust provides freight forwarding companies with customs clearance software and a virtual customs robot.,"Artificial Intelligence (AI), Information Technology, Supply Chain Management",,https://digicust.com,$1M to $10M,1800000,EUR,1933019,Seed,4,,Startup Wise Guys SaaS Milan,,1,"590,869"
Pre Seed Round - Investory,https://www.crunchbase.com/funding_round/investory-io-pre-seed--df255435,Investory,https://www.crunchbase.com/organization/investory-io,Pre-Seed,"Vienna, Wien, Austria, Europe",2021-02-26,100000,USD,100000,Seed,,,,Yes,Investory is all-in one startup investor relations platform.,"Analytics, Artificial Intelligence (AI), Big Data, Finance, FinTech, SaaS",,http://investory.io,$1M to $10M,1527974,USD,1527974,M&A,7,,Startup Wise Guys,,1,"594,640"
Pre Seed Round - Thaleron,https://www.crunchbase.com/funding_round/thaleron-pre-seed--4ee0e7df,Thaleron,https://www.crunchbase.com/organization/thaleron,Pre-Seed,"Innsbruck, Tirol, Austria, Europe",2023-03-01,,,,Seed,,,,Yes,Undersea sand energy storage,"Civil Engineering, Energy Storage, Renewable Energy",,https://thaleron.com/,$1M to $10M,,,,Seed,2,,EWOR,,1,"594,688"
Pre Seed Round - Storyblok,https://www.crunchbase.com/funding_round/storyblok-gmbh-pre-seed--dae62a74,Storyblok,https://www.crunchbase.com/organization/storyblok-gmbh,Pre-Seed,"Linz, Oberosterreich, Austria, Europe",2018-01-01,,,,Seed,,,,Yes,Storyblok is a content management system that specializes in the management of content experiences.,"CMS, IaaS, Information Technology, Internet, PaaS, Software, Web Design, Web Development, Web Hosting",,https://www.storyblok.com,$100M to $500M,138089317,USD,138089317,Late Stage Venture,5,,tech2b Inkubator,,1,"595,394"
Seed Round - Artivive,https://www.crunchbase.com/funding_round/artivive-seed--a558b3b3,Artivive,https://www.crunchbase.com/organization/artivive,Seed,"Vienna, Wien, Austria, Europe",2019-01-30,,,,Seed,,,,Yes,Artivive is the augmented reality platform for art and artists.,"Apps, Information Technology, Mobile Apps, Music",,https://artivive.com/,Less than $1M,,,,Seed,2,,Berkeley SkyDeck Fund,,1,"595,051"
Angel Round - Froots,https://www.crunchbase.com/funding_round/froots-66ee-angel--45497649,Froots,https://www.crunchbase.com/organization/froots-66ee,Angel,"Vienna, Wien, Austria, Europe",2023-03-09,,,,Seed,,,,Yes,"Wealth-management, Fintech, Froots is an online wealth manager that helps their clients to obtain long-term financial freedom.","Asset Management, Financial Services, FinTech, Wealth Management",,https://www.froots.io/,,6850000,EUR,7462695,Seed,5,,Gregor Schlierenzauer,,1,"595,074"
Seed Round - Investory,https://www.crunchbase.com/funding_round/investory-io-seed--3eea1aa3,Investory,https://www.crunchbase.com/organization/investory-io,Seed,"Vienna, Wien, Austria, Europe",2022-02-21,150000,EUR,169640,Seed,,,,Yes,Investory is all-in one startup investor relations platform.,"Analytics, Artificial Intelligence (AI), Big Data, Finance, FinTech, SaaS",,http://investory.io,$1M to $10M,1527974,USD,1527974,M&A,7,,Startup Wise Guys,,1,"597,156"
