2025 Rank,2024 Rank,Institution Name,City,Location,Location Full,Size,Academic Reputation,Employer Reputation,Faculty Student,Citations per Faculty,International Faculty,International Students,International Research Network,Employment Outcomes,Sustainability,QS Overall Score,2025 Rank Numeric,OpenCage Request,Latitude,Longitude
80,84,University of Birmingham,Birmingham,UK,United Kingdom,XL,68.9,69,39,40.5,92.6,89.3,97.5,44.5,96.8,64.1,80,"Birmingham, United Kingdom",52.4796992,-1.9026911
80,81,University of Southampton,Southampton,UK,United Kingdom,L,50.1,44.3,40.7,83.4,92.5,98,97.1,49.2,96.9,64.1,80,"Southampton, United Kingdom",50.9025349,-1.404189
82,75,University of Leeds,Leeds,UK,United Kingdom,XL,70.5,75.9,36.4,39.8,82.5,88.5,98.8,50.9,71.8,63.8,82,"Leeds, United Kingdom",53.7974185,-1.5437941
84,87,Ruprecht-Karls-Universität Heidelberg,Heidelberg,DE,Germany,L,76.9,59.4,99.4,32.7,54.2,53.6,94.5,25.2,77.6,63.7,84,"Heidelberg, Germany",49.4093582,8.694724
87,81,"Trinity College Dublin, The University of Dublin",,IE,Ireland,L,69.5,47.4,20.2,58.4,99.3,88,91.3,88.6,57.7,62.9,87,,53.3498,6.2603
89,78,Durham University,Durham,UK,United Kingdom,L,59.6,83.9,26.3,40.9,97.3,84.9,89.7,39.4,98.6,61.7,89,"Durham, United Kingdom",54.666667,-1.75
97,98,Freie Universitaet Berlin,Berlin,DE,Germany,L,80.3,56.9,5,71.7,62.4,43.7,93.1,32.8,31.3,60.6,97,"Berlin, Germany",52.510885,13.3989367
99,106,RWTH Aachen University,Aachen,DE,Germany,XL,46.6,93.7,6.3,71.9,48.6,85.5,86.1,33.4,84.8,59.9,99,"Aachen, Germany",50.776351,6.083862
100,107,University of Copenhagen,Copenhagen,DK,Denmark,XL,74,31.6,99.8,23.1,84.9,15.6,98.2,90.8,73.2,59.6,100,"Copenhagen, Denmark",55.6867243,12.5700724
102,119,"KIT, Karlsruhe Institute of Technology",Karlsruhe,DE,Germany,L,44.9,80.9,39.4,68.4,70.5,42.9,86.4,50.8,75.3,59.4,102,"Karlsruhe, Germany",49.0068705,8.4034195
103,105,Uppsala University,,SE,Sweden,L,61.4,33.7,52,42.3,99.4,81.1,96.7,68.4,99.2,59.3,103,,59.85806,17.6447
104,95,University of St Andrews,St Andrews,UK,United Kingdom,M,46.5,63.2,64.7,49.2,98.4,100,83.8,18.5,91.1,59.2,104,"St Andrews, United Kingdom",56.3403902,-2.7955844
105,104,The University of Sheffield,Sheffield,UK,United Kingdom,L,58.3,48.7,52.5,43.9,83.3,96.8,95.8,33.8,97.7,59.1,105,"Sheffield, United Kingdom",53.3806626,-1.4702278
105,107,Utrecht University,Utrecht,NL,Netherlands,XL,66.5,38.8,31,79.5,55.7,19.4,97.3,54.7,61.9,59.1,105,"Utrecht, Netherlands",52.0907006,5.1215634
108,100,University of Nottingham,Nottingham,UK,United Kingdom,XL,61.1,65.8,32.8,37.6,89.4,70.5,98,38,97,58.5,108,"Nottingham, United Kingdom",52.9534193,-1.1496461
109,121,Technical University of Denmark,Lyngby,DK,Denmark,M,33.2,22.1,99.1,84.4,100,87.7,88.1,43.6,47.9,58.3,109,"Lyngby, Denmark",55.7718649,12.5051413
109,91,University of Zurich,Zurich,CH,Switzerland,L,59.9,26.4,92.2,40.1,100,42.8,94.3,88.6,58.7,58.3,109,"Zurich, Switzerland",47.3744489,8.5410422
111,123,Politecnico di Milano,Milano,IT,Italy,XL,70.8,77,5.8,40.2,67.4,56.8,88.1,52.9,72.6,58.2,111,"Milano, Italy",45.4641943,9.1896346
113,109,Aalto University,Helsinki,FI,Finland,L,45.7,40.6,33.2,73.6,95.2,40.1,78.2,95.1,94.7,57.9,113,"Helsinki, Finland",60.1674881,24.9427473
117,115,University of Helsinki,Helsinki,FI,Finland,L,62.3,29.1,59.4,49.6,73.4,5.7,96.9,90.5,94.5,56.8,117,"Helsinki, Finland",60.1674881,24.9427473
119,117,University of Oslo,Oslo,NO,Norway,L,55.6,16,73.8,55.7,91.6,31.7,97.3,80.9,72.1,56.1,119,"Oslo, Norway",59.9133301,10.7389701
120,145,Queen Mary University of London,London,UK,United Kingdom,L,48.3,36.9,30.4,62.8,99.5,99.2,92.5,21.4,95.6,55.8,120,"London, United Kingdom",51.5074456,-0.1277653
126,120,Humboldt-Universität zu Berlin,Berlin,DE,Germany,XL,89.2,69.9,7.4,27,69.1,35.1,93.1,19,19.9,55,126,"Berlin, Germany",52.510885,13.3989367
126,171,University College Dublin,,IE,Ireland,L,51.4,43.5,16.6,46.4,99.1,74.8,87.2,89.8,95.6,55,126,,53.3498,6.2603
128,118,Stockholm University,Stockholm,SE,Sweden,L,52.5,21,26.7,64.5,80.7,89.8,95.7,86.6,58.7,54.8,128,"Stockholm, Sweden",59.3251172,18.0710935
