Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Diversity Spotlight,Lead Investors,Investor Names,CB Rank (Funding Round),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Funding Stage,Organization Description,Organization Industries,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Number of Investors,Number of Partner Investors,Equity Only Funding,Sentiment
Series A - Caroobi,https://www.crunchbase.com/funding_round/caroobi-series-a--185642b8,Caroobi,https://www.crunchbase.com/organization/caroobi,Series A,2017-07-12,,,,,BMW i Ventures,"Axel Springer Digital Ventures, BMW i Ventures, Cherry Ventures, DN Capital, Fabrice Grinda, FJ Labs, NAP, TA Ventures","399,638",,,,Early Stage Venture,Caroobi is an integrated marketplace for automotive aftersales.,"Automotive, Internet, Marketplace","Berlin, Berlin, Germany, Europe",https://caroobi.com,$10M to $50M,20000000,USD,20000000,Early Stage Venture,4,8,1,Yes,
Venture Round - Unibuddy,https://www.crunchbase.com/funding_round/unibudy-series-unknown--9a4bd4e1,Unibuddy,https://www.crunchbase.com/organization/unibudy,Venture - Series Unknown,2020-03-27,5000000,USD,5000000,,Stride.VC,Stride.VC,"399,767",,,,,"Unibuddy helping universities and students to attract, engage and convert prospects through peer interactions.","EdTech, Education, SaaS, Universities","London, England, United Kingdom, Europe",https://unibuddy.com,$1M to $10M,32000000,USD,32000000,Early Stage Venture,6,1,1,Yes,
Series B - McMakler,https://www.crunchbase.com/funding_round/mcmakler-gmbh-series-b--3411983d,McMakler,https://www.crunchbase.com/organization/mcmakler-gmbh,Series B,2017-05-23,16000000,EUR,17886328,,Frog Capital,"Frog Capital, Mutschler Ventures AG, NAP, Piton Capital","401,532",80000000,EUR,89431640,Early Stage Venture,McMakler is the leading hybrid real estate transaction platform in Germany.,"Real Estate, Real Estate Investment","Berlin, Berlin, Germany, Europe",http://www.mcmakler.de/,$500M to $1B,231007705,USD,231007705,,11,4,2,Yes,
Series A - App Radar,https://www.crunchbase.com/funding_round/appers-gmbh-series-a--5a02738b,App Radar,https://www.crunchbase.com/organization/appers-gmbh,Series A,2019-10-21,700000,EUR,780620,,eQventure,eQventure,"401,797",,,,Early Stage Venture,App Radar is an AI powered software that is helping apps and mobile games being found within the App Stores.,Internet,"Graz, Steiermark, Austria, Europe",https://appradar.com,$1M to $10M,5000000,EUR,5523632,M&A,5,1,1,Yes,
Series B - Elder,https://www.crunchbase.com/funding_round/elder-series-b--af1b6c74,Elder,https://www.crunchbase.com/organization/elder,Series B,2020-01-20,8200000,GBP,10662464,,Acton Capital,"Acton Capital, MMC Ventures","406,016",,,,Early Stage Venture,Elder provides live-in and short-term home care for elderly individuals across the UK.,"Elderly, Health Care, Home Health Care, Internet","London, England, United Kingdom, Europe",http://elder.org,$10M to $50M,19762464,USD,19762464,,6,2,2,Yes,
Series A - Elder,https://www.crunchbase.com/funding_round/elder-series-a--e5213a23,Elder,https://www.crunchbase.com/organization/elder,Series A,2017-12-01,4100000,USD,4100000,,MMC Ventures,MMC Ventures,"406,568",,,,Early Stage Venture,Elder provides live-in and short-term home care for elderly individuals across the UK.,"Elderly, Health Care, Home Health Care, Internet","London, England, United Kingdom, Europe",http://elder.org,$10M to $50M,19762464,USD,19762464,,6,1,1,Yes,
Series B - Submer,https://www.crunchbase.com/funding_round/submer-series-b--8181adc3,Submer,https://www.crunchbase.com/organization/submer,Series B,2022-01-25,30000000,EUR,33909493,,Planet First Partners,"Alma Mundi Ventures, Norrsken VC, Planet First Partners","411,618",,,,Early Stage Venture,Submer enables next-generation cooling and automation for data and energy-,"CleanTech, Cloud Infrastructure, Data Center Automation, Energy Efficiency, Hardware, IT Infrastructure, Robotics","Barcelona, Catalonia, Spain, Europe",https://submer.com,Less than $1M,127111469,USD,127111469,Late Stage Venture,7,3,1,Yes,
Series A - hemea (ex-Travauxlib),https://www.crunchbase.com/funding_round/travauxlib-series-a--a644536f,hemea (ex-Travauxlib),https://www.crunchbase.com/organization/travauxlib,Series A,2019-10-01,5000000,EUR,5467750,,Daphni,"Daphni, Financiere Saint James, Frederic Halley","353,899",,,,Early Stage Venture,hemea is SaaS-enabled marketplace between homeowner wishing to renovate their home and carefully filtered and rated contractors & architects,"Construction, Marketplace, SaaS","Paris, Ile-de-France, France, Europe",https://www.hemea.com/,$1M to $10M,16860000,EUR,18375636,,4,3,1,Yes,
Series A - Unifly,https://www.crunchbase.com/funding_round/unifly-series-a--4b1cf25d,Unifly,https://www.crunchbase.com/organization/unifly,Series A,2016-11-21,5000000,EUR,5316604,,Terra Drone,Terra Drone,"412,360",,,,Early Stage Venture,Unifly is a provider of an Unmanned Traffic Management platform allowing the safe integration of drones into the airspace.,"Aerospace, Drone Management, Drones, Mobile Apps, Navigation, Robotics, Smart Cities, Software, Software Engineering","Antwerp, Antwerpen, Belgium, Europe",https://www.unifly.aero,$10M to $50M,33200000,EUR,36376442,M&A,4,1,,Yes,
Venture Round - eloomi,https://www.crunchbase.com/funding_round/eloomi-series-unknown--ed4b526e,eloomi,https://www.crunchbase.com/organization/eloomi,Venture - Series Unknown,2018-06-01,2000000,USD,2000000,,Vaekstfonden,Vaekstfonden,"415,236",,,,,eloomi is a software tool that simplifies training and people development in corporates.,"Application Performance Management, Compliance, Corporate Training, E-Learning, Education, Human Resources, Information Technology, SaaS, Software","Copenhagen, Hovedstaden, Denmark, Europe",http://eloomi.com,$10M to $50M,78650000,USD,78650000,M&A,7,1,1,Yes,
Series A - Userlane,https://www.crunchbase.com/funding_round/userlane-series-a--4be8f43c,Userlane,https://www.crunchbase.com/organization/userlane,Series A,2018-03-21,4000000,EUR,4938650,,Capnamic,"Capnamic, FTR Ventures, HTGF (High-Tech Gruenderfonds)","419,766",,,,Early Stage Venture,Userlane helps businesses automate user onboarding and employee training.,"Information Technology, Internet, SaaS, Software, UX Design","München, Bayern, Germany, Europe",https://www.userlane.com/,$10M to $50M,14000000,EUR,16349056,Early Stage Venture,4,3,1,Yes,
Series A - Careship,https://www.crunchbase.com/funding_round/careship-series-a--bddb4ea5,Careship,https://www.crunchbase.com/organization/careship,Series A,2017-01-24,4000000,USD,4000000,,Spark Capital,"Atlantic Labs, Spark Capital","425,297",,,,Early Stage Venture,Careship helps families find the right caregiver for their loved ones.,"Health Care, Home Services, Wellness","Berlin, Berlin, Germany, Europe",https://www.careship.de,$10M to $50M,11349276,USD,11349276,M&A,4,2,,Yes,
Series B - NA-KD.com,https://www.crunchbase.com/funding_round/na-kd-com-series-b--29157fbb,NA-KD.com,https://www.crunchbase.com/organization/na-kd-com,Series B,2018-01-15,45000000,USD,45000000,,Partech,"eEquity, Filip Engelbert, FJ Labs, Jonas Nordlander, Northzone, Otiva, Partech","430,535",,,,Early Stage Venture,NA-KD.com is a Swedish fashion e-commerce company.,"E-Commerce, Fashion, Marketplace, Mobile","Gothenburg, Vastra Gotaland, Sweden, Europe",http://www.na-kd.com,$100M to $500M,88506623,USD,88506623,Early Stage Venture,7,7,4,Yes,
Venture Round - NEXD,https://www.crunchbase.com/funding_round/nexd-series-unknown--7e7b310b,NEXD,https://www.crunchbase.com/organization/nexd,Venture - Series Unknown,2019-06-03,,,,,Neo Ventures,"3TS Capital Partners, Neo Ventures","431,170",,,,,Nexd is a SaaS AdTech company focused on producing lightweight hyper-engaging creative experiences through it's intuitive platform offering.,"Ad Server, Advertising, Advertising Platforms, Information Technology, SaaS, Software","Tallinn, Harjumaa, Estonia, Europe",https://nexd.com/,$10M to $50M,,,,Early Stage Venture,4,2,1,Yes,
Venture Round - Curve,https://www.crunchbase.com/funding_round/curve-series-unknown--009e0fb9,Curve,https://www.crunchbase.com/organization/curve,Venture - Series Unknown,2024-06-24,,,,,Samsung NEXT’s Q Fund,Samsung NEXT’s Q Fund,"354,451",,,,,Curve Pay actively works to save you money and enhance every payment you make through its cutting-edge wallet technology.,"Apps, Banking, Financial Services, FinTech, Payments","London, England, United Kingdom, Europe",https://www.curve.com,$10M to $50M,301716571,USD,301716571,Late Stage Venture,11,1,1,Yes,
Series A - SpinDrive,https://www.crunchbase.com/funding_round/spindrive-series-a--49e9864d,SpinDrive,https://www.crunchbase.com/organization/spindrive,Series A,2023-11-08,3800000,EUR,4070314,,Rhapsody Venture Partners,"Born2Grow, Innovestor, Rhapsody Venture Partners","354,784",,,,Early Stage Venture,SpinDrive creates customized levitation technology pushing energy efficiency to the maximum level and promoting oil-free solutions.,"CleanTech, Electronics, Energy","Lappeenranta, Southern Finland, Finland, Europe",http://www.spindrive.fi/,$1M to $10M,8700000,EUR,9555157,Early Stage Venture,7,3,1,Yes,
Series B - Paack,https://www.crunchbase.com/funding_round/paack-2-series-b--d5fd72a3,Paack,https://www.crunchbase.com/organization/paack-2,Series B,2019-07-15,20000000,USD,20000000,,Unbound,"Bankinter, Bonsai Partners, Castel Capital, Kibo Ventures, Rider Global, RPS Ventures, Unbound","436,588",,,,Early Stage Venture,The most advanced tech-enabled delivery solution ensuring the best-in-class sustainable delivery experience.,"Delivery, Delivery Service, E-Commerce, Logistics, Retail, Same Day Delivery","Barcelona, Catalonia, Spain, Europe",https://paack.co/,$50M to $100M,367912639,USD,367912639,,11,7,,Yes,
Series A - N-Dream AG (AirConsole),https://www.crunchbase.com/funding_round/n-dream-ag-series-a--ab4c4b29,N-Dream AG (AirConsole),https://www.crunchbase.com/organization/n-dream-ag,Series A,2019-11-21,3000000,CHF,3021373,,Ringier Digital Ventures,"Alpana Ventures, Christian Wenger, EquityPitcher Ventures, Founderful, Ringier Digital Ventures, SICTIC, Swiss Founders Fund","438,623",,,,Early Stage Venture,N-Dream is the company behind AirConsole is a cloud-based multiplayer game console that uses smartphones as gamepads.,"Internet, Mobile, Online Games","Zürich, Zurich, Switzerland, Europe",http://www.n-dream.com,Less than $1M,10702831,USD,10702831,,6,7,,Yes,
Venture Round - MIWA,https://www.crunchbase.com/funding_round/miwa-series-unknown--0cd10e16,MIWA,https://www.crunchbase.com/organization/miwa,Venture - Series Unknown,2021-10-06,,,,,European Innovation Council,European Innovation Council,"438,727",,,,,MIWA provides reusable packaging services.,"Food Processing, Packaging Services, Waste Management","Praha, Hlavni mesto Praha, Czech Republic, Europe",https://www.miwa.eu/,$1M to $10M,5400000,EUR,5975446,,4,1,,Yes,
Series B - ottonova,https://www.crunchbase.com/funding_round/ottonova-holding-ag-series-b--49923194,ottonova,https://www.crunchbase.com/organization/ottonova-holding-ag,Series B,2017-03-25,15000000,EUR,16208244,,TEV Ventures,"b2venture, HV Capital, STS Ventures, TEV Ventures, Vorwerk Ventures","442,256",,,,Early Stage Venture,ottonova is Germany's newest and purely digital health insurance,"Health Care, Health Insurance, Insurance, InsurTech","Munich, Bayern, Germany, Europe",https://www.ottonova.de/en,$1M to $10M,159000000,EUR,174658226,Late Stage Venture,6,5,1,Yes,
Series A - Zinklar,https://www.crunchbase.com/funding_round/zinklar-series-a--cafea3e9,Zinklar,https://www.crunchbase.com/organization/zinklar,Series A,2022-07-13,5500000,EUR,5518880,,Criteria Venture Tech,"Beacon Capital, Centre for the Development of Industrial Technology (CDTI), Criteria Venture Tech, EASO Ventures, Full Global Investments","443,843",,,,Early Stage Venture,Zinklar is an market research company that helps to make safer and smarter business decisions.,"Consumer Research, Market Research, Product Research, Software","Barcelona, Catalonia, Spain, Europe",http://zinklar.com,$1M to $10M,8800000,EUR,9268427,Early Stage Venture,6,5,2,Yes,
Venture Round - Revolut,https://www.crunchbase.com/funding_round/revolut-series-unknown--8986dc15,Revolut,https://www.crunchbase.com/organization/revolut,Venture - Series Unknown,2021-08-12,13700000,USD,13700000,,Woodford Investment Management,"Alanda Capital Management, Pario Ventures, Woodford Investment Management","444,030",,,,,"Revolut is a financial technology company that offers banking services, money transfers, foreign exchange, and spending analytics.","Banking, Financial Services, FinTech, Mobile Payments","London, England, United Kingdom, Europe",http://www.revolut.com,$1B to $10B,1748057579,USD,1748057579,,21,3,,Yes,
Series D - Lunar,https://www.crunchbase.com/funding_round/lunar-bank-series-d--5fb08f8f,Lunar,https://www.crunchbase.com/organization/lunar-bank,Series D,2021-07-12,210000000,EUR,249136623,,Heartland,"Fuel Venture Capital, Heartland, IDC Ventures, Kinnevik, Peter H. Mühlmann, Tencent","355,857",,,,Late Stage Venture,Lunar is a digital bank that offers a mobile-based banking app that helps consumers manage their personal finances.,"Banking, Credit Cards, Debit Cards, Financial Services, FinTech","Aarhus, Midtjylland, Denmark, Europe",http://www.lunar.app,$100M to $500M,513693462,USD,513693462,,11,6,2,Yes,
Series B - Attest,https://www.crunchbase.com/funding_round/attest-series-b--d8720e82,Attest,https://www.crunchbase.com/organization/attest,Series B,2020-05-22,,,,,New Enterprise Associates,"Alumni Ventures, Hedosophia, New Enterprise Associates","444,600",,,,Early Stage Venture,Attest is a consumer research platform that delivers consumer data that drive predictable and repeatable growth to businesses.,"Analytics, Big Data, Consumer Research, Market Research, Marketing, Productivity Tools, SaaS","London, England, United Kingdom, Europe",https://askattest.com,Less than $1M,84100000,USD,84100000,Early Stage Venture,5,3,1,Yes,
Series A - Coinhouse,https://www.crunchbase.com/funding_round/coinhouse-series-a--242cef9a,Coinhouse,https://www.crunchbase.com/organization/coinhouse,Series A,2021-02-10,4800000,USD,4800000,,Expon Capital,"ConSensys Ventures, Eric Larchevêque, Expon Capital, RAISE, SGH CAPITAL, UL Invest, XAnge","356,598",,,,Early Stage Venture,Coinhouse is the leading French platform for providing investment and payment services in Bitcoin and tens of other crypto assets.,"Banking, Bitcoin, Blockchain, Cryptocurrency, Financial Services, FinTech, Information Technology, Payments, Web3","Paris, Ile-de-France, France, Europe",https://www.coinhouse.com,$1M to $10M,68010572,USD,68010572,Early Stage Venture,5,7,4,Yes,
Series B - Focal Point Positioning,https://www.crunchbase.com/funding_round/focal-point-positioning-series-b--33017d1c,Focal Point Positioning,https://www.crunchbase.com/organization/focal-point-positioning,Series B,2017-02-27,4000000,GBP,4975143,,Passion Capital,"Cambridge Angels group, Parkwalk Advisors, Passion Capital, University of Cambridge Enterprise","356,613",,,,Early Stage Venture,"FocalPoint has developed next generation navigation and positioning software for smartphones, wearables and autonomous vehicles.","Automotive, Consulting, Indoor Positioning, Navigation, Software, Wearables","Cambridge, Cambridgeshire, United Kingdom, Europe",http://www.focalpointpositioning.com/,$1M to $10M,33412002,GBP,40450601,Late Stage Venture,4,4,,Yes,
Series A - Wingly,https://www.crunchbase.com/funding_round/wingly-series-a--9ef6a2db,Wingly,https://www.crunchbase.com/organization/wingly,Series A,2020-06-16,3000000,EUR,3379950,,Innovacom,Innovacom,"356,750",,,,Early Stage Venture,Wingly is a flight sharing platform where private pilots offer their flights and passengers can fly with them.,"Aerospace, Internet, Leisure, Travel","Paris, Ile-de-France, France, Europe",https://www.wingly.io,$1M to $10M,8500000,EUR,9624507,,5,1,,Yes,
